a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
aic94xx-firmware 30-9
alacritty 0.9.0-2
alsa-card-profiles 1:0.3.40-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amtk 5.3.1-1
ani-cli-git r96.1a1909b-1
aom 3.2.0-1
apache 2.4.51-2
apr 1.7.0-3
apr-util 1.6.1-9
archlinux-keyring 20211028-1
argon2 20190702-3
arp-scan 1.9.7-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.6-2
authy 1.9.0-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
baobab 41.0-1
base 2-2
bash 5.1.012-1
bash-completion 2.11-2
bc 1.07.1-4
bind 9.16.23-1
binutils 2.36.1-3
bison 3.8.2-1
bleachbit 4.4.2-1
bluez 5.62-1
bluez-hid2hci 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
bolt 0.9.1-1
boost-libs 1.76.0-2
box2d 2.4.1-1
brave-bin 1:1.32.113-1
bridge-utils 1.7.1-1
brltty 6.4-2
broadcom-wl-dkms 6.30.223.271-28
brotli 1.0.9-4
btrfs-progs 5.15.1-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.73-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
celt 0.11.3-4
ceph-libs 15.2.14-2
cheese 41.1-1
chromaprint 1.5.0-3
chrome-gnome-shell 10.1-5
cifs-utils 6.14-1
clucene 2.3.3.4-11
clutter 1.26.4-1
clutter-gst 3.0.27-3
clutter-gtk 1.8.4-2
cmake 3.22.0-1
code 1.62.0-1
cogl 1.22.8-1
colord 1.4.5-4
colord-gtk 0.2.0-2
colord-sane 1.4.5-4
confuse 3.3-3
containerd 1.5.8-1
coreutils 9.0-2
cracklib 2.9.7-2
cryptsetup 2.4.2-1
cups 1:2.3.3op2-4
cups-filters 1.28.10-2
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
curl 7.80.0-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
dhcpcd 9.4.0-1
dialog 1:1.3_20211107-1
diffutils 3.8-1
ding-libs 0.6.1-3
djvulibre 3.5.28-3
dkms 3.0.2-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docker 1:20.10.11-1
dosfstools 4.2-1
dotconf 1.3-6
double-conversion 3.1.5-2
drive 0.4.0-1
dtc 1.6.1-1
e2fsprogs 1.46.4-1
edk2-ovmf 202108-1
efibootmgr 17-2
efivar 37-4
electron13 13.6.3-1
elfutils 0.186-1
enchant 2.3.1-2
eog 41.0-1
eog-plugins 3.26.7-2
epiphany 41.0-1
evince 41.3-1
evolution-data-server 3.42.2-1
exempi 2.5.2-1
exfat-utils 1.3.0-2
exiv2 0.27.5-1
expat 2.4.1-1
f2fs-tools 1.14.0-3
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
file-roller 3.40.0-1
filesystem 2021.11.11-1
findutils 4.8.0-1
flac 1.3.3-3
flashrom 1.2-2
flex 2.6.4-3
fluidsynth 2.2.4-1
fmt 8.0.1-2
fontconfig 2:2.13.94-1
freerdp 2:2.4.1-2
freetype2 2.11.0-4
frei0r-plugins 1.7.0-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fuseiso 20070708-8
fwupd 1.7.2-1
fwupd-efi 1.1-1
gavl 1.4.0-5
gawk 5.1.1-1
gc 8.2.0-2
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gdm 41.0+r15+g23ebe617-1
gdrive 2.1.1-2
gedit 40.1-1
geoclue 2.5.7-4
